component,trait_variance,trait_cumulative,persona_variance,persona_cumulative,random_variance_mean,random_variance_std
1,0.49025440216064453,0.49025440216064453,0.31170254945755005,0.31170254945755005,0.15133239328861237,0.001666299533098936
2,0.18081912398338318,0.6710735559463501,0.15763536095619202,0.46933791041374207,0.14790759980678558,0.0011956857051700354
3,0.1593162715435028,0.8303897976875305,0.14028224349021912,0.6096201539039612,0.1452619582414627,0.0010110371513292193
4,0.07695422321557999,0.9073440432548523,0.12116753309965134,0.7307876944541931,0.14270782470703125,0.001071476493962109
5,0.041982367634773254,0.9493263959884644,0.10423371195793152,0.8350213766098022,0.14035972952842712,0.0009572592098265886
6,0.03663814067840576,0.9859645366668701,0.06543952971696854,0.900460958480835,0.13776536285877228,0.0012723538093268871
7,0.014035478234291077,1.0,0.05718779191374779,0.9576486945152283,0.13466520607471466,0.0014406261034309864
8,8.114332366833746e-14,1.0,0.028978630900382996,0.9866273403167725,1.171839995916038e-13,6.769701444385434e-14
9,,,0.013372739776968956,1.0000001192092896,,
10,,,4.926935866667731e-14,1.0000001192092896,,
