persona,weight_matrix,total_alignment,steering_vec_norm,dim_match,sv_dim,weight_in_dim
assistant,q_proj,0.0002715488761719591,65.09416198730469,True,4096,4096
assistant,k_proj,0.00026119041563551826,65.09416198730469,True,4096,4096
assistant,v_proj,0.00028072066649201103,65.09416198730469,True,4096,4096
assistant,o_proj,0.00024608954733312236,65.09416198730469,True,4096,4096
assistant,gate_proj,0.00024789071647094004,65.09416198730469,True,4096,4096
assistant,up_proj,0.00024393280912338793,65.09416198730469,True,4096,4096
assistant,down_proj,,65.09416198730469,False,4096,14336
comedian,q_proj,0.0002474944669111947,89.36385345458984,True,4096,4096
comedian,k_proj,0.00022597706867072862,89.36385345458984,True,4096,4096
comedian,v_proj,0.0002758552547185942,89.36385345458984,True,4096,4096
comedian,o_proj,0.00023725589411748634,89.36385345458984,True,4096,4096
comedian,gate_proj,0.00023871978506312456,89.36385345458984,True,4096,4096
comedian,up_proj,0.0002334697069152195,89.36385345458984,True,4096,4096
comedian,down_proj,,89.36385345458984,False,4096,14336
conspiracy_host,q_proj,0.00025451896030055275,122.23277282714844,True,4096,4096
conspiracy_host,k_proj,0.0002479323816779192,122.23277282714844,True,4096,4096
conspiracy_host,v_proj,0.00027745424040461305,122.23277282714844,True,4096,4096
conspiracy_host,o_proj,0.00025028047440535763,122.23277282714844,True,4096,4096
conspiracy_host,gate_proj,0.0002479086139597884,122.23277282714844,True,4096,4096
conspiracy_host,up_proj,0.00024297842436546855,122.23277282714844,True,4096,4096
conspiracy_host,down_proj,,122.23277282714844,False,4096,14336
kind_teacher,q_proj,0.0002469712227951034,85.56974792480469,True,4096,4096
kind_teacher,k_proj,0.0002157522572761603,85.56974792480469,True,4096,4096
kind_teacher,v_proj,0.0002691957787268051,85.56974792480469,True,4096,4096
kind_teacher,o_proj,0.00023983908694931853,85.56974792480469,True,4096,4096
kind_teacher,gate_proj,0.00023936858847076883,85.56974792480469,True,4096,4096
kind_teacher,up_proj,0.00023341715801606492,85.56974792480469,True,4096,4096
kind_teacher,down_proj,,85.56974792480469,False,4096,14336
lawyer,q_proj,0.0002360569911794953,88.16956329345703,True,4096,4096
lawyer,k_proj,0.00021561231687092857,88.16956329345703,True,4096,4096
lawyer,v_proj,0.0002650234749024156,88.16956329345703,True,4096,4096
lawyer,o_proj,0.00023733440406570346,88.16956329345703,True,4096,4096
lawyer,gate_proj,0.0002355348095237367,88.16956329345703,True,4096,4096
lawyer,up_proj,0.0002308263646476131,88.16956329345703,True,4096,4096
lawyer,down_proj,,88.16956329345703,False,4096,14336
pirate,q_proj,0.00024115151028966368,131.96807861328125,True,4096,4096
pirate,k_proj,0.00022926136145630485,131.96807861328125,True,4096,4096
pirate,v_proj,0.0002543353139019118,131.96807861328125,True,4096,4096
pirate,o_proj,0.00023693128391394957,131.96807861328125,True,4096,4096
pirate,gate_proj,0.0002451975875603645,131.96807861328125,True,4096,4096
pirate,up_proj,0.00023775921074420365,131.96807861328125,True,4096,4096
pirate,down_proj,,131.96807861328125,False,4096,14336
scientist,q_proj,0.00026267078891281453,77.33710479736328,True,4096,4096
scientist,k_proj,0.00025031678340376297,77.33710479736328,True,4096,4096
scientist,v_proj,0.00031332609365547075,77.33710479736328,True,4096,4096
scientist,o_proj,0.0002339312821339016,77.33710479736328,True,4096,4096
scientist,gate_proj,0.00024681027414675177,77.33710479736328,True,4096,4096
scientist,up_proj,0.00024237506781437382,77.33710479736328,True,4096,4096
scientist,down_proj,,77.33710479736328,False,4096,14336
stoic,q_proj,0.00024353281485685977,96.10784149169922,True,4096,4096
stoic,k_proj,0.00022836039656815667,96.10784149169922,True,4096,4096
stoic,v_proj,0.0002847053448979942,96.10784149169922,True,4096,4096
stoic,o_proj,0.00024395776377423136,96.10784149169922,True,4096,4096
stoic,gate_proj,0.00024070900309387626,96.10784149169922,True,4096,4096
stoic,up_proj,0.0002366739608918418,96.10784149169922,True,4096,4096
stoic,down_proj,,96.10784149169922,False,4096,14336
