layer,n_examples,n_personas,kmeans_persona_purity,linear_probe_accuracy,kmeans_purity_mean,kmeans_purity_std,probe_accuracy_mean,probe_accuracy_std,persona_dims_95,persona_dims_99,pc1_variance,pc2_variance,pc3_variance,cosine_same_persona,cosine_diff_persona,cosine_same_question,cosine_diff_question,persona_separation_gap,question_separation_gap,f1_assistant,f1_comedian,f1_conspiracy_host,f1_kind_teacher,f1_lawyer,f1_pirate,f1_scientist,f1_stoic
0,320,8,0.1375,0.603125,0.133125,0.006434768838116879,0.626875,0.03144315307026318,7,7,0.296985000371933,0.24008123576641083,0.1277400553226471,0.9914156064677697,0.9905448293286775,0.9988085986780268,0.9904682713895081,0.000870777139092227,0.008340327288518745,0.8571428571428571,0.47619047619047616,0.7058823529411765,0.5454545454545454,0.7692307692307693,0.4,0.6,0.45454545454545453
4,320,8,0.125,0.50625,0.125,0.0,0.5293750000000002,0.03766111223795705,7,7,0.28055891394615173,0.20494350790977478,0.15327712893486023,0.9464395888531819,0.9447433938059424,0.9962030955723353,0.9438008735959347,0.0016961950472395015,0.052402221976400654,0.875,0.46153846153846156,0.6666666666666666,0.36363636363636365,0.42857142857142855,0.8235294117647058,0.47619047619047616,0.1111111111111111
8,320,8,0.328125,0.99375,0.2509375,0.07595807334477356,0.9928125,0.0024407030237208215,6,7,0.4042184352874756,0.16420963406562805,0.13200880587100983,0.9035441859028278,0.8694121648424438,0.9553293153111424,0.8717510390990916,0.034132021060384043,0.08357827621205083,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,320,8,0.934375,0.996875,0.7378125,0.14409232337723615,0.9968749999999998,1.1102230246251565e-16,6,7,0.414979487657547,0.1984855979681015,0.15479011833667755,0.9222023950841947,0.8016266082094184,0.8541598939469882,0.8155199501579866,0.12057578687477621,0.038639943789001596,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16,320,8,0.925,0.996875,0.764375,0.10686586218245753,0.9968749999999998,1.1102230246251565e-16,6,7,0.34131669998168945,0.22038580477237701,0.13126613199710846,0.8771544668059319,0.6227479555870273,0.6897438218551023,0.6530456571051708,0.25440651121890456,0.03669816474993148,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,320,8,0.925,0.996875,0.7515625,0.09843750000000001,0.9965624999999999,0.00093749999999998,6,7,0.3517836332321167,0.20744588971138,0.1590040773153305,0.8377820733170479,0.538870981644972,0.6196254159190825,0.5744230698991137,0.29891109167207586,0.04520234601996875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
24,320,8,0.925,0.99375,0.775,0.09346832685460889,0.994375,0.003061862178478946,6,7,0.37383484840393066,0.21278776228427887,0.15081943571567535,0.8296516742843848,0.5053679530977804,0.5844644587087844,0.5441288171586796,0.3242837211866044,0.04033564155010483,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
28,320,8,0.9375,0.996875,0.7831250000000001,0.08000488266349748,0.9953125,0.002096313728906033,6,7,0.3697015941143036,0.2177811712026596,0.14494286477565765,0.8309229875938633,0.4956440762074531,0.570887366376285,0.535865789389787,0.3352789113864102,0.03502157698649799,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
31,320,8,0.953125,0.996875,0.795,0.10277592434515001,0.9959374999999999,0.002812499999999993,6,7,0.3389018774032593,0.2210504114627838,0.15735867619514465,0.7736186337251312,0.3518618486392578,0.4529963075715516,0.40231240442715205,0.4217567850858734,0.05068390314439958,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
