null_same_persona_sim,null_diff_persona_sim,null_gap,layer
0.9987022876739502,0.9980301516396659,0.0006721360342842875,0
0.9980359002947807,0.9960683020097869,0.001967598284993821,4
0.9921649619936943,0.9581490233540535,0.03401593863964081,8
0.9882212206721306,0.8662255225437028,0.12199569812842781,12
0.978645920753479,0.7133357056549617,0.26531021509851727,16
0.9766572043299675,0.6444024166890553,0.3322547876409122,20
0.9772688671946526,0.6185107880405017,0.3587580791541508,24
0.9746044427156448,0.6051014997065067,0.3695029430091381,28
0.9631722867488861,0.4651096843715225,0.4980626023773636,31
